given_names,family_name,orcid,country,taxa
Ivo,Tosevski,0000-0002-3666-3151,,"A. incana, Aceria anthocoptes, Alnus glutinosa, Aphidiinae, Aphidius avenaphis, Aphidius rhopalosiphi, Aphidius uzbekistanicus, Areopraon, Arita, Auchenorrhyncha, Balcanica, Bembecia, Bembecia (Synansphecia) leucomela, Bembecia (Synansphecia) leucomelaena, Bembecia fokidensis, Bembecia guesnoni, Bembecia pagesi, Braconidae, C. contractus, Cameraria ohridella, Carabidae, Carabus (Eucarabus) ullrichi fastuosus, Carota, Cercospora, Cercospora apii, Cercospora beticola, Cercospora carotae, Cercospora violae, Ceutorhynchus erysimi, Chaitophorus leucomelas, Chamaesphecia, Chamaesphecia doleriformis, Chamaesphecia hungarica, Chamaesphecia schizoceriformis, Chamaesphecia schmidtiiformis, Chamaesphecia schroederi, Cicadellidae, Cirsium arvense, Cixiidae, Cixiinae, Coleoptera, Crepis foetida, Curculionidae, Daucus, Deltocephalinae, Drosophila suzukii, Drosophilidae, Euphorbia, Euphorbia esula, Euphorbiaceae, Euscelis incisus, Frangula alnus, Gelechiidae, Gracillariidae, Hemiptera, Hyalesthes obsoletus, Hymenoptera, Lamiaceae, Lamiales, Lepidoptera, Linaria dalmatica, Linaria vulgaris, Macrolepidoptera, Mecinini, Mecinus heydenii, Mecinus janthinus, Morphocarabus, Neoaliturus fenestratus, Nokona coreana, Paranthrene, Phaseolus vulgaris, Picris hieracioides, Plantaginaceae, Reptalus panzeri, Rhamnus cathartica, Rhinusa, Rhinusa antirrhini, Rhinusa hispida, Rhinusa pilosa, Scaphoideus titanus, Sesiidae, Thielaviopsis thielavioides, Tuta absoluta, U. laevis, Ulmus minor, Vitex agnus-castus"
Danilo,Tosta Souza,0000-0002-8093-6663,Brazil,"Aplysina fulva, Aspergillus fumigatus, Deschampsia antarctica, Pseudomonas aestus, Rhodococcus psychrotolerans, Saccharopolyspora spongiae, Scopalina ruetzleri, Streptomyces atlanticus"
Balázs,Tóth,0000-0002-6089-1218,Hungary,"Erebidae, Hypeninae, Lepidoptera, Naarda"
Béla,Tóthmérész,0000-0002-4766-7668,Hungary,"Asclepias syriaca, Beckmannion eruciformis, Brassicaceae, Carabidae, Chalcidoidea, Coleoptera, Cynipidae, Diplolepis rosae, Diplopoda, Drosophila, Gomphus flavipes, Halme, Hymenoptera, Melanogaster, Myriapoda diplopoda, Odonata, Otis tarda, Parasitoids, Pteromalidae, Rana esculenta, Rhizopoda, Solidago canadensis, Sphagnum bog, Staphylinidae, Synechococcus, Tenebrio molitor, Testacea, Testate, Trigonoderus pedicellaris"
Soliman,Toto,0000-0003-2098-2374,Egypt,Solanaceae
Maria,Tourna,0000-0002-6346-0683,,"Alaninema, Athoracophoridae, Ficus carica, Fusarium oxysporum, Phasmarhabditis hermaphrodita, Pulmonata"
Julien,Touroult,0000-0002-4619-5590,France,""
Viacheslav,Trach,0000-0002-4888-0153,,"Acari, Antennoseius, Anystipalpus, Ascidae, Astigmata, Canestriniidae, Carabidae, Cercoleipus kuznetsovi, Cercomegistidae, Coleoptera, Coleopterophagus, Crematogaster, Curculionidae, Diplogyniidae, Dolichocybidae, Formicidae, Gaeolaelaps, Geotrupes spiniger, Geotrupidae, Halodarcia carabidophila, Halolaelapidae, Halolaelaps, Heterostigmata, Laelapidae, Lobogynioides andreinii, Mesostigmata, Myrmozercon, Parantennulidae, Parantennulus, Pavania carabidophila, Petalomium, Pygmephoridae, Pygmephoroidea, Schizogyniidae, Scolytinae, Sejidae, Sejus hinangensis, Spatulaphorus, Trogidae, Trox cadaverinus"
Colin,Trainor,0000-0002-0194-7533,Australia,"Aves, Chelidae, Chelodina mccordi, Kakadu, Locustella timorensis, Pilbara bioregion, Plasmodium knowlesi, Polyrhachis, Strigidae, Testudines, Tryngites subruficollis, Wallacea, Z. argurus, Zyzomys palatilis"
Tanja,Trakić,0000-0001-9607-0668,Serbia,"Allolobophora dofleini, Allolobophora kosowensis kosowensis, Lumbricidae, Lumbricus friendi cognetti, Lumbricus meliboeus, Oligochaeta, Planina"
Donato,Traversa,0000-0003-3411-1326,,"Aelurostrongylus abstrusus, Angiostrongylus chabaudi, Angiostrongylus vasorum, Anoplocephala perfoliata, Anoplocephalidae, Ascaridida, Ascarididae, B. exitiosa, Baylisascaris transfuga, Bonamia ostreae, Capillaria aerophila, Cestoda, Chamelea gallina, Crenosomatidae, Cryptosporidium, Cryptosporidium parvum, Cyclophyllidea, Cylicocyclus nassatus, Diptera, Dirofilaria immitis, Dirofilaria repens, Dorylaimida, Drosophilidae, Equus burchelli, Eucoleus aerophilus, Eucoleus böhmi, Felis silvestris silvestris, Filaria martis, Filariidae, Giardia, Giardia duodenalis, Habronema microstoma, Habronema muscae, Habronematidae, Hypoderma, Hypoderma bovis, Hypoderma lineatum, Hypoderma sinense, Leishmania infantum, Longidorus poessneckensis, Lynx lynx, Malassezia, Malassezia pachydermatis, Martes foina, Metastrongyloidea, Musca domestica, Muscidae, Nematoda, Oestridae, Ostrea edulis, P. aegagri, P. crossii, Phortica semivirgo, Phortica variegata, Przhevalskiana silenus, Psychodidae, Rhinoestrus, Ruditapes philippinarum, Spirocerca lupi, Spirurida, Steganinae, Stenella coeruleoalba, Strongylida, Testudo graeca, Testudo hermanni, Testudo marginata, Thelazia, Thelazia callipaeda, Thelazia gulosa, Thelazia lacrymalis, Thelazia rhodesi, Thelazia skrjabini, Thelaziidae, Thelazioidea, Toxoplasma gondii, Trichuris vulpis, Troglostrongylus, Troglostrongylus brevior, Troglostrongylus subcrenatus, Wohlfahrtia magnifica"
Kenny,Travouillon,0000-0003-1734-4742,Australia,"Balbaroo, Ganguroo, Macropodidae, Macropodoidea, Marsupialia, Peramelemorphia, Wabularoo, Yalkaparidon"
Arthur,Treuherz,0000-0002-1294-2156,Brazil,""
Anna,Trias-Blasi,0000-0001-9745-3222,United Kingdom of Great Britain and Northern Ireland,""
Raül,Triay-Portella,0000-0002-7591-6254,Spain,"Actinopterygii, Aristeidae, Blenniidae, Brachyura, Canaria, Chaceon affinis, Chirostylidae, Crustacea, Decapoda, Geryonidae, Homolidae, Inachidae, Labridae, Notoscopelus resplendens, POLYBIIDAE, Pandalidae, Parablennius parvicornis, Paromola cuvieri, Perciformes, Plesionika edwardsii, Spongicolidae, Spongiocaris koehleri, Stenopodidea, Tetraodontiformes, Thiidae, Trachinidae, Trachinus pellegrini, Xyrichtys novacula"
Carolyn,Trietsch,0000-0003-2781-6838,United States of America,"Conostigmus albovarius, Hymenoptera, Megaspilidae"
Tomi,Trilar,0000-0003-0636-2881,,"Ayesha serva, Babesia microti, Bartonella, Borrelia burgdorferi, Cicadetta cerdaniensis cicada, Cicadetta montana, Cicadettini, Cicadidae, Cicadivetta, Cicadoidea, Clostridium difficile, Diptera, Evia, Glis glis, Haemaphysalis sulcata, Hemiptera, Hippoboscidae, Hirundo rustica, Homoptera, Insectivora, Ixodes ricinus, Ixodidae, Mammalia, Microtus, Monopsyllus sciurorum sciurorum, Myoxus glis, P. latifascia, Passeriformes, Purana metallica, Rickettsia, Rickettsia typhi, Sorex, Soricidae, Theileria, Tibicinidae, Trichomonas gallinae"
Kate,Trinajstic,0000-0002-6519-6396,,"Africanaspis, Arthrodira, Compagopiscis croucheri, Incisoscutum ritchei, Moythomasia durgaringa"
Amber,Tripodi,0000-0001-7368-6638,United States of America,""
Filip,Trnka,0000-0001-8125-2370,,""
Jesus,Troncoso,0000-0002-7305-6879,,"A. georgiensis, Adenocystis utricularis, Aeolidiidae, Anetarca, Annelida, Antimargarita, Apseudopsis adami, Apseudopsis latreillii, Arthropoda, Asymmetron lucayanum, Austrodoris kerguelenensis, Berghia, Cephalopoda, Chromodorididae, Crustacea, Dendrodoris senegalensis, Facelinidae, Favorinus elenalexiae, Fissurellidae, Gastropoda, Hippa pacifica, Hoplodoris, Hypselodoris picta, Iridaea cordata, Isopoda, Laevipilina rolani, Laminariales, Leptocheliidae, Leptostraca, Mollusca, Monoplacophora, Muricidae, Nudibranchia, Ochrophyta, Opisthobranchia, Paratanaoidea, Peracarida, Phidiana, Phyllidiella, Phyllidiidae, Pisione parapari, Pisionidae, Polictenidia tomasi, Polychaeta, Prionospio pulchra, Pycnogonida, Sargassum muticum, Sarsinebalia, Sepiola atlantica, Sepiolidae, Sphaerodoridae, Sphaerodoropsis, Spionidae, Syllidae, Tanaidacea, Tanaissus, Terebellida, Trochidae, Trophon, Undaria pinnatifida, Uromunna, Vetigastropoda, Z. noltei, Zeidora, Zostera, Zostera marina, Zostera noltei"
Robert,Tropek,0000-0001-7499-6259,Czechia,"Abies alba, Acanthaceae, Acraea wigginsi occidentalis, Amphibia, Annonaceae, Araneae, Caudata, Cicadellidae, Cicadomorpha, Coenagrion ornatum, Erebidae, Hemiptera, Hipparchia semele, Hypericaceae, Hypericum, Hypoestes aristata, Hypolycaena anara, Impatiens sakeriana, Lepidoptera, Lycaenidae, Mylothris jacksoni knutsoni, Nymphalidae, Pieridae, Rhopalocera, Stomatepia mongo, Uvariopsis dioica"
Marcelo,Trovó,0000-0002-0478-2332,Brazil,"Actinocephalus, Actinocephalus koernickeanus, Actinocephalus pachyphyllus, Actinocephalus polyanthus, Actinocephalus verae, Eriocaulaceae, Herreria, Herreriaceae, Paepalanthus, Paepalanthus conjunctus, Paepalanthus hirtellus, Paepalanthus rectifolius, Paepalanthus serpens, Paepalanthus sphaeroides, Poales, Pontederiaceae, Potamogetonaceae"
Cheng-Hsiu,Tsai,0000-0003-3617-366X,Japan,"Aetiocetidae, Balaenoptera physalus, Caperea marginata, Cetacea, Eschrichtiidae, Kekenodontidae, Mysticeti"
Cheng-Lung,Tsai,0000-0003-4319-686X,Taiwan,""
Susan,Tsang,0000-0002-7916-2074,United States of America,"Chiroptera, Pteropus"
Jack,Tseng,0000-0001-5335-4230,,"Amphicyonidae, Carnivora, Dinocrocuta gigantea, Enhydritherium terraenovae, Hyaeninae, Lutrinae, Mammalia, Miacis, Siamogale melilutra"
Hirokazu,Tsukaya,0000-0002-4430-4538,,""
Mariusz,Tszydel,0000-0002-0254-7451,,"Hydropsyche angustipennis, Hydropsyche angustipennis (hydropsychidae, Hydropsychidae, Insecta, Trichoptera"
Tzu-Hsuan,Tu,0000-0003-4421-3342,Taiwan,"Anthozoa, Coralliidae, Ferruginous, Octocorallia"
Denis,Tumanov,0000-0002-4190-4175,,"Eutardigrada, Hypsibiidae, Isohypsibius panovi, Macrobiotidae, Macrobiotus, Macrobiotus alekseevi, Macrobiotus siamensis, Macrobiotus tenuis, Milnesiidae, Milnesium, Tardigrada"
Alaettin,Tuncer,0000-0002-6623-3101,,"Crustacea, Ostracoda"
Sergei,Turanov,0000-0003-4829-9729,Russian Federation,"Actinopterygii, Ammodytes, Ammodytidae, Aulopiformes, Azygopterus, Cottoidei, Didemnum vexillum, Lineidae, Lineus torquatus, Lobotes surinamensis, Lobotidae, Nemertea, Perciformes, Percoidei, Stichaeidae, Synodontidae, Zoarcales, Zoarces fedorovi, Zoarcidae, Zoarcoidei"
Nicholas,Turland,0000-0001-8893-0891,Germany,""
Susan,Turner,0000-0003-2308-158X,Australia,"Acanthodii gyracanthidae, Australasia, Chondrichthyes, Doliodus, Gyracanthides hawkinsi, Mcmurdodus, Protodus jexi, Thrinacodus, Victoria"
Alexander,Turra,0000-0003-2225-8371,,"(Linnaeus, Anomura, Ariidae, Bivalvia, Brachyura, Callinectes danae, Ceramiales, Cerithium atratum, Charybdis hellerii, Cirolanidae, Clibanarius antillensis stimpson, Clibanarius vittatus, Conodon nobilis, Crustacea, Ctenosciaena gracilicirrhus, Cyclopoida, Dardanus insignis, Decapoda, Decapoda anomura, Diogenidae, Echinodermata, Echinoidea, Emerita brasiliensis, Excirolana armata, Gastropoda, Geochelone denticulata, Gerreidae, Haemulidae, Halobates, Halophila decipiens, Hastula cinerea, Hippidae, Hypnea epiphytism, Isopoda, Kalliapseudes schubarti, Lagocephalus laevigatus, Larimus breviceps, Laurencia dendroidea, Linnaeus, Lytechinus variegatus, Menticirrhus americanus, Micropogonias furnieri, Mollusca, Ocypode quadrata, Olivella minuta, Olividae, Pagurus brevidactylus, Pagurus criniticornis, Perciformes, Perna perna, Petrochirus diogenes, Pomadasyidae, Pomadasys corvinaeformis, Portunidae, Praia da, Rhodophyta, S. brasiliensis, S. stellifer, Sargassum, Sargassum cymosum, Sargassum spp. macrofauna, Sciaenidae, Siluriformes, Stellifer, Stellifer rastrifer, Terebridae, Tetraodontidae, Tetraodontiformes, Tivela mactroides, Veneridae"
Joanna,Tusznio,0000-0003-1289-9183,Poland,""
Lillian,Tuttle,0000-0002-5009-8080,,"Cymothoidae, Ectoparasite, Elthusa winstoni, Isopoda, Pterois volitans"
Petr,Tuzovsky,0000-0001-5002-2679,,"A. graecus, A. moniezi, Acari, Acariformes, Acherontacaridae, Anisitsiellidae, Arrenuridae, Arrenurus, Atractides, Atractides koch, Aturidae, Aturus, Corticacarus, D. semiperforatus, Diplodontus scapularis, Dubia thor, Feltria, Feltriidae, Georgella, H. dispar, H. planus, Halacaridae, Hydrachnidae, Hydrochoreutes, Hydrodroma, Hydrodroma koch, Hydrodromidae, Hydrovolzioidea, Hydryphantes, Hydryphantes clypeatus, Hydryphantes hellichi, Hydryphantes koch, Hydryphantes nonundulatus, Hydryphantes prolongatus, Hydryphantes samaricus, Hydryphantidae, Hygrobates, Hygrobatidae, L. porosa, L. saxonica, Lebertia, Lebertia insignis, Lebertiidae, Ljania, Mixobates, Monatractides, Mota, N. spinipes, Neumania, Neumania imitata, Neumania magadanica, Oxidae, Piona, Piona annulata, Piona coccinoides, Piona koch, Piona stjoerdalensis, Pionacercus anadyrensis, Pionacercus norvegicus, Pionidae, Pionopsis, Rutripalpidae, Rutripalpus limicola, S. orientalis, S. prosperoides, Sigthoria, Sperchon, Sperchon hispidus, Sperchontidae, Szalayella, Tiphys, Torrenticola, Torrenticola ungeri, Torrenticolidae, Unionicola, Unionicola figuralis, Unionicolidae"
Christopher,Tyrrell,0000-0001-6019-2153,,""
VIBHA,UBARE,0000-0002-8513-3480,India,"Demospongiae, Homoscleromorpha, Porifera"
Susantha,Udagededara,0000-0003-3681-1924,,"Aves, Brachyura, Ceylonthelphusa armata, Ciconiidae, Ciconiiformes, Crustacea, Gecarcinucidae, Halodule pinifolia, Halophila beccarii, Perbrinckia scansor, Syngnathidae"
Diana Marlen,Ugalde García,0000-0003-2084-0114,,"Demospongiae, Porifera"
Bohuslav,Uher,0000-0002-0430-0137,Austria,""
Franz,Uiblein,0000-0002-5642-0384,,"Chalcalburnus chalcoides mento, Chara fragilis, Cirrata, Crustacea, Cypridopsis vidua, Euproctus asper, Hoplostethus atlanticus, Mullidae, Mullidae) del golfo, Neobythites, Ocellus, Octopoda, Ophidiidae, Ophidiiformes, Ostracoda, Parupeneus forsskali, Perciformes, Proteus anguinus, S. crassus, Sirembo, Spectrunculus (teleostei, Spottobrotula, Stauroteuthis syrtensis, Synaphobranchus kaupi, Teleostei, Thymallus thymallus, Trachichthyidae, U. mascareinsis, U. subvittatus, Upeneus, Upeneus randalli, Vimba elongata"
Mario,Urbina,0000-0002-1898-9051,Peru,"Amazonia, Aves, Cathartidae, Cetacea, Cetotheriidae, Cypraeidae, Gastropoda, Huaridelphis raimondii, Icadyptes salasi, Mammalia, Muracypraea woodring, Notocetus vanbenedeni, Odontoceti, Pelagornithidae, Pelecaniformes, Platanistidae, Ramphastosula, Squalodelphinidae, Sulidae, Thalassocnus, Una nueva especie, Xenarthra, Ziphiidae"
Derya,Ürkmez,0000-0002-9572-9886,Turkey,"Acari, Amphipoda, Anaximander, Arthrotardigrada, Bivalvia, Chromadoridae, Ciliophora, Cyclorhagida, Echinoderes dujardinii, Foraminifera, Gromiida, Halaphanolaimus, Kinorhyncha, Leptolaimidae, Megastygarctides, Megastygarctides sezginii, Micoletzkyia longispicula, Nematoda, Neochromadora, Phanodermatidae, Pontarachnidae, Sinop, Stygarctidae, Tardigrada, Terschellingia distalamphida, Trefusia, Turridae, Xyalidae"
Jessica,Urwin,0000-0003-4105-5676,,""
Anna,Ustyuzhanina,0000-0002-0582-9489,Russian Federation,"Lepidoptera, Platyptilia, Pterophoridae"
Serge,Utevsky,0000-0003-1290-6742,,"Acanthobdellida, Annelida, Annelida hirudinida erpobdellidae, Clitellata, Clitellata hirudinida, Dolichobdella rubra, Glossiphoniidae, H. orientalis (clitellata, Helobdella nuda, Hirudinea, Hirudinida, Hirudo, Hirudo medicinalis, Hirudo spp, Hirudo verbana, Mysidobdella borealis, Notostomum, Oceanobdella, Oligochaeta, Paracanthobdella livanowi, Piscicolidae, Transcaucasia"
Laura,Utz,0000-0002-4343-4672,Brazil,"Bacillariophyceae, Bromeliaceae, Bromeliad, Ceriodaphnia dubia, Ciliophora, Cladocera, Colacium vesiculosum, Copepoda, Copepods, Crustacea, Daphnia similis, Epistylididae, Epistylis, Epistylis chlorelligerum, Epistylis plicatilis, Epistylis portoalegrensis, Epistylis riograndensis, Epistylis smalli, Euglenophyceae, Gastropoda, Leptocylindrus mediterraneus, Mollusca, Oligohymenophorea, Opercularia, Peritrichia, Pomacea canaliculata, Rhabdostyla, Solenicola setigera, Tillandsia aeranthos, Vriesea gigantea, Zoothamnium intermedium"
SANU ,V FRANCIS,0000-0002-3539-4770,India,"Calanoida, Copepoda, Copepods, Gastropoda, Labidocera acuta, Labidocera madurae, Mugil cephalus, Nassariidae, Nassodonta insignis, P. sinica, Pontella sewelli, Pontella spinipes, Pontellidae"
FRANCISCO MARIA,VAZQUEZ PARDO,0000-0001-7826-8814,Spain,"Astragalus, Coleoptera, Erirhinidae, Fagaceae, Graminae, Gramineae, Lamiaceae, Macrochloa, Nassella, Nothofagaceae, Nothofagus, Poaceae, Q. marianica, Quercus, Quercus canariensis, Quercus rotundifolia, Serratus ventralis, Stenopelmus rufinasus, Stipa, Stipeae, Teucrium oxylepis, Thymbra capitata, Thymus mastichina, Thymus praecox ssp. penyalarensis, Thymus zygis, Typha angustifolia, Typhaceae, Valeriana mixta, Valerianaceae"
VICTOR M,VIDAL-MARTINEZ,0000-0001-5514-2127,,"Acanthocephala, Acanthostomidae, Ancyrocephalinae, Anisakinae, Apicomplexa, Argulus, Argulus yucatanus, Ariidae, Ariopsis assimilis, Ariopsis guatemalensis, Ascarophis ayalai, Ascocotyle, Atheriniformes, Belonesox belizanus, Camallanidae, Centropomidae, Centropomus nigrescens, Cichlasoma meeki, Cichlasoma synspilum, Cichlasoma urophthalmus, Cichlidae, Cichlidogyrus, Cichlidogyrus sclerosus, Contracaecum multipapillatum, Crassostrea virginica, Cystidicolidae, Dactylogyridae, Daniconematidae, Diclidophoridae, Digenea, Diplectanidae, Diplectanocotyla, Diplectanocotyla megalopis, Diplectanocotyla yamaguti, Dormitator latifrons, Epinephelus morio, Farfantepenaeus duorarum, Gussevia herotilapiae, Heterobothrium lamothei, Heterophyidae, Kogia breviceps, Kogiidae, Limia vittata, Megalops atlanticus, Mesodesma mactroides, Mexiconema cichlasomae, Monogenea, Monogenoidea, Mycteroperca bonaci, N. vegrandis, Nematoda, Neotetraonchus, Oligogonotylus manteri, Oreochromis niloticus, Panulirus argus, Perciformes, Philometra (Ranjhinema), Philometra salgadoi, Philometridae, Poeciliidae, Procamallanus (Spirocamallanus) chetumalensis, Pseudacanthostomum panamense, Pseudempleurosoma yamaguti, Pseudorhabdosynochus capurroi, Pseudorhabdosynochus yucatanensis, Rhabdosynochus, Salsuginus, Salsuginus neotropicalis, Sciadicleithrum, Sciadicleithrum meekii, Serranidae, Siluriformes, Spheroides testudineus, Sphoeroides testudineus, Syacium gunteri, Symphurus plagiusa, Teleostei, Tetraodontidae, Trachinotus carolinus"
Maria Teresa,VINCIGUERRA,0000-0001-9909-9095,Italy,""
Jins,VJ,0000-0001-8000-720X,,Kerala
Kauresh,Vachhrajani,0000-0002-6840-4752,India,"Brachyura, Chaenostoma sinuspersici, Decapoda, Macrophthalmidae"
Gaurav,Vaidya,0000-0003-0587-0454,United States of America,Diptera
Marcos,Vaira,0000-0002-3651-5108,,"Amphibia, Anura, Bufonidae, Coronopus dydimus, Dipsadidae, Elachistocleis, Melanophryniscus, Melanophryniscus rubriventris, Microhylidae, Oreobates, Physalaemus cuqui, Polystoma andinum, Reptilia, Squamata, Strabomantidae, Tomodon orestes"
Somaye,Vaissi,0000-0003-3389-1877,Iran (Islamic Republic of),"Amphibia, Anura, Batrachochytrium dendrobatidis, Bufo, Caudata, Chiroptera, Laudakia nupta, Mabuya aurata, Miniopteridae, Neurergus kaiseri, Neurergus microspilotus, Ophisops elegans, Pelophylax ridibundus, Pipistrellus kuhlii, Rhinolophidae, Rhinolophus mehelyi, Salamandridae, Trapelus lessonae, Vespertilionidae"
Angel,Valdes,0000-0002-2347-4896,,"Actinocyclidae, Actinocyclus, Aeolidiella, Aeolidiidae, Aglajidae, Akera, Alderia modesta, Anadara inaequivalvis, Anisodoris, Aplysiomorpha, Armina, Arminidae, Armodoris, Bathydoris, Bathydoris aioca, Brachychlanis, Cadlina burnayi, Cephalaspidea, Chelidonura, Chromodorididae, Corambidae, Cuthona, Cyerce, Dendronotus, Dolabrifera, Dondice, Doridoidea, Doriopsilla, Doriopsilla areolata, Doriopsilla miniata, Felimare, Gastropoda, Glaucidae, Gnathodoridoidea, Hallaxa, Haminoea, Hermissenda crassicornis, Heterobranchia, Heterobranchus, Hypselodoris, Hypselodoris infucata, Mexichromis, Miamira, Mollusca, Navanax aenigmaticus, Nudibranchia, Opisthobranchia, Orodoris, Philine, Philine aperta, Philinopsis, Phyllidia varicosa, Phyllidiidae, Phyllidiopsis, Placida cremoniana, Pleurobranchidae, Polybranchiidae, Rostanga, Sacoglossa, Tergipedidae, Trapania, Tylodinoidea, Tyrinna evelinae, Umbraculum"
Ángel ,Vale,0000-0001-7579-6646,Cuba,"Apoidea, Broughtonia cubensis, Broughtonia lindenii, Encyclia, Encyclia navarroi, Hymenoptera, Laeliinae, Orchid, Orchidaceae, Rubiaceae, Tetramicra, Tolumnia guibertiana, Xylocopa cubaecola"
Alejandro,Valencia Zuleta,0000-0003-2515-6709,Colombia,"Anura, Bufonidae, C. euknemos, Cauca, Centrolenidae, Cochranella mache, Craugastor raniformis, Craugastoridae, Dipsadidae, Ecnomiohyla miliaria, Hylidae, Imantodes chocoensis, Pristimantis colomai, Rhinella rubescens, Squamata"
Alberto,Valenciano Vaquero,0000-0003-1633-2248,Spain,"Amphicyonidae, Baculum, Carnivora, Eomellivora piveteaui, Indarctos arctoides, Mammalia, Megalictis, Mellivorinae, Mustelidae"
Carlos,Valente,0000-0001-8982-330X,,"Anaphes inexpectatus, Anaphes nitens, Aphelinidae, Centrodora damoni, Cerambycidae, Coleoptera, Ctenarytaina spatulata, Curculionidae, Eucalyptus, Eucalyptus gall, Eucalyptus globulus, Eucalyptus snout, Eulophidae, Formicidae, Glycaspis brimblecombei, Gonipterus, Gonipterus platensis, Gonipterus scutellatus, Hemerobius bolivari, Hemiptera, Homoptera, Hymenoptera, Leptocybe invasa, Mycosphaerella, Mycosphaerella impact, Mymaridae, P. recurva, Phoracantha recurva, Phoracantha semipunctata, Prunus persica, Psyllidae, Quambalaria eucalypti, Rhombacus eucalypti, Thaumastocoris peregrinus"
Paul,Valentich-Scott,0000-0003-0019-7643,,"Bivalvia, Galeommatidae, Mollusca, Waldo arthuri"
Julián,Valetti,0000-0003-4640-4716,Argentina,"Acari, Amphibia, Anura, Bufonidae, Ceratophryidae, Ceratophrys cranwelli, Hannemania, Leeuwenhoekiidae, Leptodactylidae, Odontophrynus cordobae, P. cordobae, Pleurodema, Pleurodema cordobae, Pleurodema guayapae, Pleurodema kriegi, Pleurodema tucumanum"
Victor Hugo,Valiati,0000-0002-4467-4547,,"Akodon serrensis, Araucaria, Cantharidae, Chauliognathus, Choeradoplana, Continenticola, Cricetidae, Diptera, Drosophila, Drosophila paulistorum, Drosophila willistoni, Drosophilidae, Geoplaninae, Lagoa, Mammalia, Platyhelminthes, Rodentia, Rynchops niger, Sigmodontinae, Tursiops truncatus, Wiedomyini, Wilfredomys, Wolbachia endosymbiont, Wolbachia pipientis, Zaprionus indianus"
Michel,Valim,0000-0002-2632-7832,Brazil,"(Heptapsogastridae, Acari, Accipitridae, Actinedida, Amblycera, Analgoidea, Anatidae, Apodidae, Apodiformes, Astigmata, Aves, Berla, Bizarrifrons, Brephosceles discidicus, Brueelia, Bucconidae, Cavia, Cheyletiellidae, Chirodiscidae, Chiroptera, Columbina talpacoti, Conopophagidae, Corvidae, Cotingacola, Craspedorrhynchus linardii, Crypturellus obsoletus, Cyanocorax, Dennyus, Dentocarpus silvai silvai, Diptera, Emberizidae, Epidermoptidae, Falconiformes, Formicaphagus, Galbulidae, Goniodorididae, Gruiformes, Gyropidae, Gyropus, Hippoboscidae, Hopkinsiella, Insecta, Ischnocera, Limnothlypis swainsonii, Linnaeus, Mammalia, Mayriphilopterus nystalicus, Menoponidae, Mesostigmata, Mulcticola, Myialges anchora, Myrsidea, Myrsidea serini, Novos registros, Numida meleagris, Opisthobranchia, Ornithocheyletia hallae, Parulidae, Passeriformes, Philopteridae, Philopteridae sensu lato, Philopteroides, Phoretic, Phthiraptera, Picicola, Piciformes, Porcellus, Procellariiformes, Proctophyllodidae, Proctophyllodinae, Pseudolynchia canariensis, Pseudomenopon pilosum, Psophiidae, Pterodectes, Pterodectes ralliculae, Pterodectinae, Pterolichidae, Pterolichoidea, Rupornis magnirostris, Spelaeorhynchidae, Spinturnicidae, Thamnophilidae, Tinamiformes, Tinamotaecola, Tinamus solitarius, Trouessartia, Trouessartiidae, Turdidae, Turdus leucomelas, Turdus rufiventris, Tyrannidae, Tyranniphilopterus caiolukasi, Ácaros plumícolas"
Orsolya,Valkó,0000-0001-7919-6293,Hungary,"Anser, Asclepias syriaca, Beckmannion eruciformis, Brassicaceae"
Luis F.,Valladares,0000-0002-8368-254X,,"Adephaga, Aphelocheiridae, Aphelocheirus murcius, Aphelocheirus occidentalis, Capra pyrenaica victoriae, Coleoptera, Deronectes, Dytiscidae, Gerromorpha, Gyrinidae, Haenydra, Haliplidae, Helophoridae, Hemiptera, Hydraena, Hydraena (Haenydra) polita, Hydraena (Hydraena) reyi, Hydraena balearica, Hydraena barrosi, Hydraena bisulcata, Hydraena cordata, Hydraena gracilis, Hydraena nigrita, Hydraena serricollis, Hydraenidae, Hydrochara caraboides, Hydrochidae, Hydrochus, Hydrochus angusi, Hydrochus ibericus, Hydrophilidae, Hydrophiloidea, Hydrophilus piceus, Laccobius canariensis, Laccobius minutus, Limnebius, Limnebius minoricensis, Meloidae, Nepomorpha, Ochthebiinae, Ochthebius, Ochthebius (Asiobates) figueroi, Ochthebius (Asiobates) sanabrensis, Ochthebius (Calobius) quadricollis, Ochthebius (Enicocerus) legionensis, Osmylus fulvicephalus, Palpicornia, Pleurodeles waltl, Polyphaga, Scolytidae, Triturus helveticus"
Moisés,Valladares,0000-0002-0294-174X,Chile,"Caenogastropoda, Cochliopidae, Cyprinodontidae, Heleobia, Orestias, Teleostei, Truncatelloidea"
